kernel,plan_id,isa,reduction,unroll,tail,control,size,distribution,correct,median_ns,speedup_vs_orig
k18_all_equal,20,AVX2,LaneAccumulation,U4,NarrowerVector,EarlyExit,4096,all_equal,1,28.0,0.134
k18_all_equal,20,AVX2,LaneAccumulation,U4,NarrowerVector,EarlyExit,65536,all_equal,1,506.8,0.153
k18_all_equal,21,AVX2,MovemaskPopcount,U1,Scalar,FullReduction,64,random,1,1.4,0.529
k18_all_equal,21,AVX2,MovemaskPopcount,U1,Scalar,FullReduction,256,random,1,1.5,0.110
k18_all_equal,21,AVX2,MovemaskPopcount,U1,Scalar,FullReduction,4096,random,1,1.5,0.007
k18_all_equal,21,AVX2,MovemaskPopcount,U1,Scalar,FullReduction,65536,random,1,1.5,0.000
k18_all_equal,21,AVX2,MovemaskPopcount,U1,Scalar,FullReduction,64,all_equal,1,1.6,0.609
k18_all_equal,21,AVX2,MovemaskPopcount,U1,Scalar,FullReduction,256,all_equal,1,1.8,0.133
k18_all_equal,21,AVX2,MovemaskPopcount,U1,Scalar,FullReduction,4096,all_equal,1,28.0,0.134
k18_all_equal,21,AVX2,MovemaskPopcount,U1,Scalar,FullReduction,65536,all_equal,1,551.8,0.166
k18_all_equal,22,AVX2,MovemaskPopcount,U1,Scalar,EarlyExit,64,random,1,1.5,0.562
k18_all_equal,22,AVX2,MovemaskPopcount,U1,Scalar,EarlyExit,256,random,1,1.5,0.111
k18_all_equal,22,AVX2,MovemaskPopcount,U1,Scalar,EarlyExit,4096,random,1,1.5,0.007
k18_all_equal,22,AVX2,MovemaskPopcount,U1,Scalar,EarlyExit,65536,random,1,1.5,0.000
k18_all_equal,22,AVX2,MovemaskPopcount,U1,Scalar,EarlyExit,64,all_equal,1,1.5,0.586
k18_all_equal,22,AVX2,MovemaskPopcount,U1,Scalar,EarlyExit,256,all_equal,1,1.8,0.136
k18_all_equal,22,AVX2,MovemaskPopcount,U1,Scalar,EarlyExit,4096,all_equal,1,27.7,0.133
k18_all_equal,22,AVX2,MovemaskPopcount,U1,Scalar,EarlyExit,65536,all_equal,1,553.3,0.166
k18_all_equal,23,AVX2,MovemaskPopcount,U1,NarrowerVector,FullReduction,64,random,1,1.5,0.568
k18_all_equal,23,AVX2,MovemaskPopcount,U1,NarrowerVector,FullReduction,256,random,1,1.5,0.111
k18_all_equal,23,AVX2,MovemaskPopcount,U1,NarrowerVector,FullReduction,4096,random,1,1.5,0.007
k18_all_equal,23,AVX2,MovemaskPopcount,U1,NarrowerVector,FullReduction,65536,random,1,1.5,0.000
k18_all_equal,23,AVX2,MovemaskPopcount,U1,NarrowerVector,FullReduction,64,all_equal,1,1.6,0.617
k18_all_equal,23,AVX2,MovemaskPopcount,U1,NarrowerVector,FullReduction,256,all_equal,1,1.8,0.136
k18_all_equal,23,AVX2,MovemaskPopcount,U1,NarrowerVector,FullReduction,4096,all_equal,1,27.5,0.132
k18_all_equal,23,AVX2,MovemaskPopcount,U1,NarrowerVector,FullReduction,65536,all_equal,1,551.4,0.166
k18_all_equal,24,AVX2,MovemaskPopcount,U1,NarrowerVector,EarlyExit,64,random,1,1.5,0.535
k18_all_equal,24,AVX2,MovemaskPopcount,U1,NarrowerVector,EarlyExit,256,random,1,1.5,0.109
k18_all_equal,24,AVX2,MovemaskPopcount,U1,NarrowerVector,EarlyExit,4096,random,1,1.5,0.007
k18_all_equal,24,AVX2,MovemaskPopcount,U1,NarrowerVector,EarlyExit,65536,random,1,1.5,0.000
k18_all_equal,24,AVX2,MovemaskPopcount,U1,NarrowerVector,EarlyExit,64,all_equal,1,1.5,0.580
k18_all_equal,24,AVX2,MovemaskPopcount,U1,NarrowerVector,EarlyExit,256,all_equal,1,1.8,0.135
k18_all_equal,24,AVX2,MovemaskPopcount,U1,NarrowerVector,EarlyExit,4096,all_equal,1,27.9,0.134
k18_all_equal,24,AVX2,MovemaskPopcount,U1,NarrowerVector,EarlyExit,65536,all_equal,1,550.7,0.166
k18_all_equal,25,AVX2,MovemaskPopcount,U2,Scalar,FullReduction,64,random,1,1.2,0.427
k18_all_equal,25,AVX2,MovemaskPopcount,U2,Scalar,FullReduction,256,random,1,1.5,0.111
k18_all_equal,25,AVX2,MovemaskPopcount,U2,Scalar,FullReduction,4096,random,1,1.5,0.007
k18_all_equal,25,AVX2,MovemaskPopcount,U2,Scalar,FullReduction,65536,random,1,1.6,0.000
k18_all_equal,25,AVX2,MovemaskPopcount,U2,Scalar,FullReduction,64,all_equal,1,1.2,0.428
k18_all_equal,25,AVX2,MovemaskPopcount,U2,Scalar,FullReduction,256,all_equal,1,1.6,0.124
k18_all_equal,25,AVX2,MovemaskPopcount,U2,Scalar,FullReduction,4096,all_equal,1,24.5,0.118
k18_all_equal,25,AVX2,MovemaskPopcount,U2,Scalar,FullReduction,65536,all_equal,1,528.7,0.159
k18_all_equal,26,AVX2,MovemaskPopcount,U2,Scalar,EarlyExit,64,random,1,1.4,0.533
k18_all_equal,26,AVX2,MovemaskPopcount,U2,Scalar,EarlyExit,256,random,1,1.5,0.111
k18_all_equal,26,AVX2,MovemaskPopcount,U2,Scalar,EarlyExit,4096,random,1,1.5,0.007
k18_all_equal,26,AVX2,MovemaskPopcount,U2,Scalar,EarlyExit,65536,random,1,1.5,0.000
k18_all_equal,26,AVX2,MovemaskPopcount,U2,Scalar,EarlyExit,64,all_equal,1,1.4,0.537
k18_all_equal,26,AVX2,MovemaskPopcount,U2,Scalar,EarlyExit,256,all_equal,1,1.8,0.134
k18_all_equal,26,AVX2,MovemaskPopcount,U2,Scalar,EarlyExit,4096,all_equal,1,26.7,0.128
k18_all_equal,26,AVX2,MovemaskPopcount,U2,Scalar,EarlyExit,65536,all_equal,1,529.1,0.159
k18_all_equal,27,AVX2,MovemaskPopcount,U2,NarrowerVector,FullReduction,64,random,1,1.2,0.442
k18_all_equal,27,AVX2,MovemaskPopcount,U2,NarrowerVector,FullReduction,256,random,1,1.5,0.110
k18_all_equal,27,AVX2,MovemaskPopcount,U2,NarrowerVector,FullReduction,4096,random,1,1.5,0.007
k18_all_equal,27,AVX2,MovemaskPopcount,U2,NarrowerVector,FullReduction,65536,random,1,1.6,0.000
k18_all_equal,27,AVX2,MovemaskPopcount,U2,NarrowerVector,FullReduction,64,all_equal,1,1.2,0.452
k18_all_equal,27,AVX2,MovemaskPopcount,U2,NarrowerVector,FullReduction,256,all_equal,1,1.6,0.122
k18_all_equal,27,AVX2,MovemaskPopcount,U2,NarrowerVector,FullReduction,4096,all_equal,1,24.6,0.118
k18_all_equal,27,AVX2,MovemaskPopcount,U2,NarrowerVector,FullReduction,65536,all_equal,1,528.8,0.159
k18_all_equal,28,AVX2,MovemaskPopcount,U2,NarrowerVector,EarlyExit,64,random,1,1.5,0.537
k18_all_equal,28,AVX2,MovemaskPopcount,U2,NarrowerVector,EarlyExit,256,random,1,1.5,0.110
k18_all_equal,28,AVX2,MovemaskPopcount,U2,NarrowerVector,EarlyExit,4096,random,1,1.5,0.007
k18_all_equal,28,AVX2,MovemaskPopcount,U2,NarrowerVector,EarlyExit,65536,random,1,1.5,0.000
k18_all_equal,28,AVX2,MovemaskPopcount,U2,NarrowerVector,EarlyExit,64,all_equal,1,1.6,0.616
k18_all_equal,28,AVX2,MovemaskPopcount,U2,NarrowerVector,EarlyExit,256,all_equal,1,1.8,0.134
