kernel,distribution,size_bytes,candidate,correct,median_ns,min_ns,mad_ns,ci_lo_ns,ci_hi_ns,cycles_per_elem,speedup_vs_orig
k18_all_equal,mismatch_last,32,scalar,1,7.5,7.5,0.0,7.5,7.9,0.75,3.220
k18_all_equal,mismatch_last,32,chunked,1,4.2,4.1,0.0,4.1,5.2,0.42,1.794
k18_all_equal,mismatch_last,32,sse2,1,1.4,1.4,0.0,1.4,1.5,0.14,0.584
k18_all_equal,mismatch_last,32,avx2,1,1.4,1.4,0.0,1.4,1.4,0.14,0.587
k18_all_equal,mismatch_last,32,multi,1,1.4,1.3,0.0,1.3,1.5,0.14,0.585
k18_all_equal,mismatch_last,33,orig,1,2.4,2.4,0.0,2.4,2.6,0.24,1.000
k18_all_equal,mismatch_last,33,scalar,1,7.8,7.7,0.0,7.7,7.9,0.75,3.171
k18_all_equal,mismatch_last,33,chunked,1,4.2,4.2,0.0,4.2,4.4,0.41,1.730
k18_all_equal,mismatch_last,33,sse2,1,1.4,1.4,0.0,1.4,1.5,0.13,0.569
k18_all_equal,mismatch_last,33,avx2,1,1.4,1.4,0.0,1.4,1.6,0.13,0.561
k18_all_equal,mismatch_last,33,multi,1,1.6,1.5,0.0,1.5,1.8,0.16,0.660
k18_all_equal,mismatch_last,63,orig,1,5.7,5.7,0.1,5.7,5.9,0.29,1.000
k18_all_equal,mismatch_last,63,scalar,1,17.7,17.6,0.0,17.6,17.9,0.90,3.094
k18_all_equal,mismatch_last,63,chunked,1,4.8,4.8,0.0,4.8,5.0,0.24,0.838
k18_all_equal,mismatch_last,63,sse2,1,3.1,3.0,0.0,3.0,3.2,0.16,0.533
k18_all_equal,mismatch_last,63,avx2,1,3.0,2.9,0.1,2.9,3.1,0.15,0.525
k18_all_equal,mismatch_last,63,multi,1,3.3,3.2,0.0,3.2,3.4,0.17,0.572
k18_all_equal,mismatch_last,64,orig,1,4.5,4.4,0.1,4.4,4.6,0.22,1.000
k18_all_equal,mismatch_last,64,scalar,1,17.4,17.2,0.1,17.2,18.3,0.87,3.871
k18_all_equal,mismatch_last,64,chunked,1,5.0,4.9,0.0,4.9,5.1,0.25,1.108
k18_all_equal,mismatch_last,64,sse2,1,2.5,2.5,0.0,2.5,2.5,0.12,0.546
k18_all_equal,mismatch_last,64,avx2,1,1.6,1.6,0.0,1.6,1.7,0.08,0.346
k18_all_equal,mismatch_last,64,multi,1,1.4,1.4,0.0,1.4,1.5,0.07,0.304
k18_all_equal,mismatch_last,65,orig,1,4.5,4.4,0.1,4.4,5.0,0.22,1.000
k18_all_equal,mismatch_last,65,scalar,1,17.2,17.1,0.0,17.1,17.3,0.85,3.835
k18_all_equal,mismatch_last,65,chunked,1,5.0,4.9,0.1,4.9,5.5,0.25,1.120
k18_all_equal,mismatch_last,65,sse2,1,2.5,2.5,0.0,2.5,2.7,0.12,0.548
k18_all_equal,mismatch_last,65,avx2,1,1.6,1.6,0.0,1.6,1.7,0.08,0.347
k18_all_equal,mismatch_last,65,multi,1,1.5,1.4,0.0,1.4,1.7,0.07,0.324
k18_all_equal,mismatch_last,256,orig,1,17.1,16.9,0.1,16.9,17.3,0.21,1.000
k18_all_equal,mismatch_last,256,scalar,1,42.1,41.5,0.3,41.5,43.2,0.53,2.466
k18_all_equal,mismatch_last,256,chunked,1,9.3,9.2,0.1,9.2,9.9,0.12,0.547
k18_all_equal,mismatch_last,256,sse2,1,4.4,4.4,0.0,4.4,4.8,0.06,0.259
k18_all_equal,mismatch_last,256,avx2,1,3.2,3.2,0.0,3.2,3.3,0.04,0.187
k18_all_equal,mismatch_last,256,multi,1,3.1,3.0,0.0,3.0,3.3,0.04,0.180
k18_all_equal,mismatch_last,4096,orig,1,268.3,267.8,0.4,267.8,269.3,0.21,1.000
k18_all_equal,mismatch_last,4096,scalar,1,278.3,277.5,0.5,277.5,280.4,0.22,1.037
k18_all_equal,mismatch_last,4096,chunked,1,55.6,55.4,0.1,55.4,56.5,0.04,0.207
k18_all_equal,mismatch_last,4096,sse2,1,36.5,36.3,0.1,36.3,37.4,0.03,0.136
k18_all_equal,mismatch_last,4096,avx2,1,22.4,22.3,0.0,22.3,22.9,0.02,0.084
k18_all_equal,mismatch_last,4096,multi,1,22.3,22.2,0.0,22.2,22.3,0.02,0.083
k18_all_equal,mismatch_last,65536,orig,1,4293.9,4286.4,4.9,4286.4,4326.3,0.21,1.000
k18_all_equal,mismatch_last,65536,scalar,1,8254.4,8233.1,13.9,8233.1,8320.1,0.40,1.922
k18_all_equal,mismatch_last,65536,chunked,1,1570.4,1564.9,3.2,1564.9,1576.4,0.08,0.366
k18_all_equal,mismatch_last,65536,sse2,1,858.3,854.4,2.5,854.4,865.1,0.04,0.200
k18_all_equal,mismatch_last,65536,avx2,1,580.4,579.3,1.0,579.3,596.4,0.03,0.135
k18_all_equal,mismatch_last,65536,multi,1,581.6,579.6,1.5,579.6,588.5,0.03,0.135
k18_all_equal,mismatch_mid,16,orig,1,2.3,2.2,0.0,2.2,3.1,0.45,1.000
k18_all_equal,mismatch_mid,16,scalar,1,4.5,4.4,0.0,4.4,4.6,0.89,1.981
k18_all_equal,mismatch_mid,16,chunked,1,3.4,3.4,0.0,3.4,3.5,0.68,1.521
k18_all_equal,mismatch_mid,16,sse2,1,1.3,1.3,0.0,1.3,1.5,0.27,0.599
k18_all_equal,mismatch_mid,16,avx2,1,1.4,1.4,0.0,1.4,1.5,0.28,0.626
k18_all_equal,mismatch_mid,16,multi,1,4.8,4.7,0.1,4.7,4.9,0.97,2.143
k18_all_equal,mismatch_mid,17,orig,1,2.2,2.2,0.0,2.2,2.3,0.41,1.000
k18_all_equal,mismatch_mid,17,scalar,1,4.7,4.6,0.0,4.6,4.8,0.88,2.137
k18_all_equal,mismatch_mid,17,chunked,1,3.5,3.4,0.0,3.4,3.6,0.65,1.592
k18_all_equal,mismatch_mid,17,sse2,1,1.6,1.5,0.0,1.5,1.7,0.30,0.743
k18_all_equal,mismatch_mid,17,avx2,1,1.4,1.4,0.0,1.4,1.5,0.27,0.654
k18_all_equal,mismatch_mid,17,multi,1,5.0,4.8,0.1,4.8,6.0,0.95,2.309
k18_all_equal,mismatch_mid,31,orig,1,4.4,4.4,0.0,4.4,4.5,0.45,1.000
k18_all_equal,mismatch_mid,31,scalar,1,7.3,7.3,0.0,7.3,7.5,0.76,1.672
k18_all_equal,mismatch_mid,31,chunked,1,4.0,3.9,0.0,3.9,4.7,0.41,0.908
k18_all_equal,mismatch_mid,31,sse2,1,2.7,2.6,0.0,2.6,2.8,0.28,0.611
k18_all_equal,mismatch_mid,31,avx2,1,2.8,2.7,0.0,2.7,3.0,0.29,0.639
k18_all_equal,mismatch_mid,31,multi,1,7.6,7.5,0.1,7.5,7.9,0.78,1.730
k18_all_equal,mismatch_mid,32,orig,1,2.3,2.3,0.0,2.3,2.4,0.23,1.000
k18_all_equal,mismatch_mid,32,scalar,1,7.6,7.5,0.1,7.5,8.8,0.76,3.256
k18_all_equal,mismatch_mid,32,chunked,1,4.2,4.1,0.1,4.1,10.9,0.42,1.789
k18_all_equal,mismatch_mid,32,sse2,1,1.4,1.4,0.0,1.4,1.6,0.14,0.584
k18_all_equal,mismatch_mid,32,avx2,1,1.4,1.4,0.0,1.4,1.5,0.14,0.581
k18_all_equal,mismatch_mid,32,multi,1,1.3,1.3,0.0,1.3,1.5,0.13,0.562
k18_all_equal,mismatch_mid,33,orig,1,2.4,2.3,0.0,2.3,2.5,0.23,1.000
k18_all_equal,mismatch_mid,33,scalar,1,7.8,7.7,0.0,7.7,9.2,0.75,3.313
k18_all_equal,mismatch_mid,33,chunked,1,4.1,4.1,0.0,4.1,4.3,0.40,1.756
k18_all_equal,mismatch_mid,33,sse2,1,1.4,1.4,0.0,1.4,1.6,0.13,0.592
k18_all_equal,mismatch_mid,33,avx2,1,1.4,1.4,0.0,1.4,2.2,0.13,0.589
k18_all_equal,mismatch_mid,33,multi,1,1.6,1.6,0.0,1.6,1.7,0.16,0.694
k18_all_equal,mismatch_mid,63,orig,1,5.8,5.7,0.1,5.7,6.1,0.29,1.000
k18_all_equal,mismatch_mid,63,scalar,1,17.8,17.7,0.1,17.7,18.8,0.90,3.084
k18_all_equal,mismatch_mid,63,chunked,1,4.9,4.8,0.0,4.8,5.0,0.25,0.845
k18_all_equal,mismatch_mid,63,sse2,1,3.1,3.0,0.0,3.0,3.4,0.16,0.536
k18_all_equal,mismatch_mid,63,avx2,1,3.1,3.0,0.0,3.0,3.3,0.16,0.534
k18_all_equal,mismatch_mid,63,multi,1,3.2,3.2,0.0,3.2,3.4,0.16,0.559
k18_all_equal,mismatch_mid,64,orig,1,4.4,4.4,0.0,4.4,4.5,0.22,1.000
