kernel,distribution,size_bytes,candidate,correct,median_ns,min_ns,mad_ns,ci_lo_ns,ci_hi_ns,cycles_per_elem,speedup_vs_orig
k18_all_equal,random,65536,multi,1,1.3,1.3,0.0,1.3,1.4,0.00,0.000
k43_sum_ascii,random,16,orig,1,1.4,1.3,0.1,1.3,1.6,0.28,1.000
k43_sum_ascii,random,16,scalar,1,1.2,1.2,0.0,1.2,1.3,0.24,0.834
k43_sum_ascii,random,16,chunked,1,1.9,1.9,0.0,1.9,2.0,0.38,1.355
k43_sum_ascii,random,16,swar,1,2.1,2.1,0.0,2.1,2.3,0.43,1.520
k43_sum_ascii,random,16,sse2,1,1.2,1.2,0.0,1.2,1.3,0.25,0.869
k43_sum_ascii,random,16,avx2,1,1.3,1.3,0.0,1.3,1.4,0.25,0.898
k43_sum_ascii,random,16,multi,1,1.3,1.2,0.0,1.2,1.3,0.25,0.892
k43_sum_ascii,random,256,orig,1,7.4,7.3,0.0,7.3,7.6,0.09,1.000
k43_sum_ascii,random,256,scalar,1,7.7,7.5,0.1,7.5,7.9,0.10,1.034
k43_sum_ascii,random,256,chunked,1,5.1,4.9,0.1,4.9,5.2,0.06,0.681
k43_sum_ascii,random,256,swar,1,6.9,6.8,0.0,6.8,7.2,0.09,0.928
k43_sum_ascii,random,256,sse2,1,2.6,2.6,0.0,2.6,2.8,0.03,0.351
k43_sum_ascii,random,256,avx2,1,1.9,1.9,0.0,1.9,1.9,0.02,0.252
k43_sum_ascii,random,256,multi,1,1.9,1.8,0.0,1.8,2.6,0.02,0.251
k43_sum_ascii,random,4096,orig,1,112.7,112.0,0.3,112.0,116.5,0.09,1.000
k43_sum_ascii,random,4096,scalar,1,112.8,112.1,0.4,112.1,116.3,0.09,1.001
k43_sum_ascii,random,4096,chunked,1,70.7,70.6,0.1,70.6,73.0,0.06,0.628
k43_sum_ascii,random,4096,swar,1,106.0,105.7,0.2,105.7,109.2,0.08,0.941
k43_sum_ascii,random,4096,sse2,1,47.2,46.9,0.3,46.9,66.0,0.04,0.419
k43_sum_ascii,random,4096,avx2,1,26.8,26.7,0.1,26.7,27.2,0.02,0.238
k43_sum_ascii,random,4096,multi,1,26.8,26.7,0.1,26.7,28.8,0.02,0.238
k43_sum_ascii,random,65536,orig,1,1798.2,1792.5,3.7,1792.5,1825.3,0.09,1.000
k43_sum_ascii,random,65536,scalar,1,1805.5,1795.0,5.6,1795.0,1820.0,0.09,1.004
k43_sum_ascii,random,65536,chunked,1,1135.8,1130.6,4.5,1130.6,1145.9,0.06,0.632
k43_sum_ascii,random,65536,swar,1,1658.9,1652.1,4.7,1652.1,1672.8,0.08,0.923
k43_sum_ascii,random,65536,sse2,1,746.8,741.4,1.9,741.4,760.6,0.04,0.415
k43_sum_ascii,random,65536,avx2,1,544.2,543.5,0.5,543.5,548.4,0.03,0.303
k43_sum_ascii,random,65536,multi,1,544.9,543.8,0.6,543.8,550.4,0.03,0.303
k43_sum_ascii,ascii,16,orig,1,1.4,1.3,0.0,1.3,1.7,0.29,1.000
